ZIP,DEPCODE,COUNTYNAME,FieldMatch,POName,c_places,Cases
32003,10,Clay,Clay-32003,Fleming Island,"Fleming Island, Green Cove Springs, Middleburg, Orange Park",56
32008,15,Dixie,Dixie-32008,Branford,,0
32008,21,Gilchrist,Gilchrist-32008,Branford,,0
32008,34,Lafayette,Lafayette-32008,Branford,Branford,-2
32008,61,Suwannee,Suwannee-32008,Branford,Branford,9
32009,45,Nassau,Nassau-32009,Bryceville,Bryceville,-2
32011,45,Nassau,Nassau-32011,Callahan,Callahan,24
32013,34,Lafayette,Lafayette-32013,Day,,0
32024,12,Columbia,Columbia-32024,Lake City,Lake City,43
32024,61,Suwannee,Suwannee-32024,Lake City,Lake City,-2
32025,12,Columbia,Columbia-32025,Lake City,Lake City,102
32033,55,St. Johns,St. Johns-32033,Elkton,Elkton,-2
32034,45,Nassau,Nassau-32034,Fernandina Beach,"Fernandina, Fernandina Beach",53
32038,12,Columbia,Columbia-32038,Fort White,Fort White,14
32040,2,Baker,Baker-32040,Glen Saint Mary,Glen Saint Mary,5
32043,10,Clay,Clay-32043,Green Cove Springs,Green Cove Springs,130
32043,54,Putnam,Putnam-32043,Green Cove Springs,,0
32044,1,Alachua,Alachua-32044,Hampton,,0
32044,4,Bradford,Bradford-32044,Hampton,Hampton,-2
32046,45,Nassau,Nassau-32046,Hilliard,Hilliard,17
32052,24,Hamilton,Hamilton-32052,Jasper,Jasper,240
32053,24,Hamilton,Hamilton-32053,Jennings,Jennings,54
32054,4,Bradford,Bradford-32054,Lake Butler,Lake Butler,-2
32054,63,Union,Union-32054,Lake Butler,Lake Butler,16
32055,12,Columbia,Columbia-32055,Lake City,Lake City,68
32058,4,Bradford,Bradford-32058,Lawtey,Lawtey,7
32058,10,Clay,Clay-32058,Lawtey,,0
32058,63,Union,Union-32058,Lawtey,,0
32059,40,Madison,Madison-32059,Lee,Lee,12
32060,61,Suwannee,Suwannee-32060,Live Oak,Live Oak,134
32061,12,Columbia,Columbia-32061,Lulu,,0
32062,61,Suwannee,Suwannee-32062,Mc Alpin,Mcalpin,10
32063,2,Baker,Baker-32063,Macclenny,Macclenny,29
32064,61,Suwannee,Suwannee-32064,Live Oak,"Dowling Park, Live Oak",159
32065,10,Clay,Clay-32065,Orange Park,Orange Park,86
32066,34,Lafayette,Lafayette-32066,Mayo,Mayo,19
32068,10,Clay,Clay-32068,Middleburg,Middleburg,88
32071,61,Suwannee,Suwannee-32071,O Brien,O Brien,14
32073,10,Clay,Clay-32073,Orange Park,Orange Park,126
32080,18,Flagler,Flagler-32080,Saint Augustine,,0
32080,55,St. Johns,St. Johns-32080,Saint Augustine,Saint Augustine,33
32081,16,Duval,Duval-32081,Ponte Vedra,,0
32081,55,St. Johns,St. Johns-32081,Ponte Vedra,"Ponte Vedra, Ponte Vedra Beach",51
32082,55,St. Johns,St. Johns-32082,Ponte Vedra Beach,"Ponte Vedra, Ponte Vedra Beach",98
32083,63,Union,Union-32083,Raiford,Raiford,-2
32084,55,St. Johns,St. Johns-32084,Saint Augustine,Saint Augustine,47
32086,55,St. Johns,St. Johns-32086,Saint Augustine,Saint Augustine,44
32087,2,Baker,Baker-32087,Sanderson,Sanderson,8
32091,4,Bradford,Bradford-32091,Starke,Starke,53
32091,10,Clay,Clay-32091,Starke,,0
32092,55,St. Johns,St. Johns-32092,Saint Augustine,Saint Augustine,74
32094,12,Columbia,Columbia-32094,Wellborn,,0
32094,61,Suwannee,Suwannee-32094,Wellborn,Wellborn,-2
32095,55,St. Johns,St. Johns-32095,Saint Augustine,Saint Augustine,18
32096,12,Columbia,Columbia-32096,White Springs,,0
32096,24,Hamilton,Hamilton-32096,White Springs,White Springs,7
32096,61,Suwannee,Suwannee-32096,White Springs,,0
32097,45,Nassau,Nassau-32097,Yulee,Yulee,21
32102,35,Lake,Lake-32102,Astor,Astor,-2
32102,64,Volusia,Volusia-32102,Astor,,0
32110,18,Flagler,Flagler-32110,Bunnell,Bunnell,23
32112,54,Putnam,Putnam-32112,Crescent City,Crescent City,14
32113,42,Marion,Marion-32113,Citra,Citra,12
32114,64,Volusia,Volusia-32114,Daytona Beach,Daytona Beach,100
32117,64,Volusia,Volusia-32117,Daytona Beach,"Daytona Beach, Holly Hill",103
32118,64,Volusia,Volusia-32118,Daytona Beach,Daytona Beach,19
32119,64,Volusia,Volusia-32119,Daytona Beach,"Daytona Beach, South Daytona",46
32124,64,Volusia,Volusia-32124,Daytona Beach,Daytona Beach,153
32127,64,Volusia,Volusia-32127,Port Orange,"Ponce Inlet, Port Orange",27
32128,64,Volusia,Volusia-32128,Port Orange,Port Orange,31
32129,64,Volusia,Volusia-32129,Port Orange,Port Orange,34
32130,64,Volusia,Volusia-32130,De Leon Springs,De Leon Springs,16
32131,54,Putnam,Putnam-32131,East Palatka,East Palatka,19
32131,55,St. Johns,St. Johns-32131,East Palatka,,0
32132,64,Volusia,Volusia-32132,Edgewater,Edgewater,5
32134,42,Marion,Marion-32134,Fort Mc Coy,Fort Mccoy,-2
32134,54,Putnam,Putnam-32134,Fort Mc Coy,,0
32136,18,Flagler,Flagler-32136,Flagler Beach,Flagler Beach,15
32136,64,Volusia,Volusia-32136,Flagler Beach,,0
32137,18,Flagler,Flagler-32137,Palm Coast,Palm Coast,86
32139,54,Putnam,Putnam-32139,Georgetown,,0
32140,54,Putnam,Putnam-32140,Florahome,Florahome,5
32141,64,Volusia,Volusia-32141,Edgewater,Edgewater,23
32145,55,St. Johns,St. Johns-32145,Hastings,Hastings,5
32148,54,Putnam,Putnam-32148,Interlachen,Interlachen,20
32159,35,Lake,Lake-32159,Lady Lake,"Lady Lake, The Villages",33
32159,60,Sumter,Sumter-32159,Lady Lake,"Lady Lake, The Villages",-2
32162,42,Marion,Marion-32162,The Villages,The Villages,-2
32162,60,Sumter,Sumter-32162,The Villages,"Lady Lake, The Villages",65
32163,35,Lake,Lake-32163,The Villages,,0
32163,60,Sumter,Sumter-32163,The Villages,The Villages,18
32164,18,Flagler,Flagler-32164,Palm Coast,Palm Coast,112
32168,64,Volusia,Volusia-32168,New Smyrna Beach,New Smyrna Beach,45
32169,64,Volusia,Volusia-32169,New Smyrna Beach,New Smyrna Beach,7
32174,18,Flagler,Flagler-32174,Ormond Beach,,0
32174,64,Volusia,Volusia-32174,Ormond Beach,Ormond Beach,112
32176,64,Volusia,Volusia-32176,Ormond Beach,Ormond Beach,23
32177,54,Putnam,Putnam-32177,Palatka,Palatka,158
32179,42,Marion,Marion-32179,Ocklawaha,"Ocklawaha, Oklawaha",7
32180,64,Volusia,Volusia-32180,Pierson,Pierson,9
32181,54,Putnam,Putnam-32181,Pomona Park,Pomona Park,-2
32187,54,Putnam,Putnam-32187,San Mateo,San Mateo,-2
32189,54,Putnam,Putnam-32189,Satsuma,Satsuma,8
32190,64,Volusia,Volusia-32190,Seville,Seville,-2
32193,54,Putnam,Putnam-32193,Welaka,Welaka,-2
32195,35,Lake,Lake-32195,Weirsdale,,0
32195,42,Marion,Marion-32195,Weirsdale,Weirsdale,-2
32202,16,Duval,Duval-32202,Jacksonville,Jacksonville,70
32204,16,Duval,Duval-32204,Jacksonville,Jacksonville,19
32205,16,Duval,Duval-32205,Jacksonville,Jacksonville,48
32206,16,Duval,Duval-32206,Jacksonville,Jacksonville,49
32207,16,Duval,Duval-32207,Jacksonville,Jacksonville,172
32208,16,Duval,Duval-32208,Jacksonville,Jacksonville,183
32209,16,Duval,Duval-32209,Jacksonville,Jacksonville,96
32210,16,Duval,Duval-32210,Jacksonville,Jacksonville,242
32211,16,Duval,Duval-32211,Jacksonville,Jacksonville,102
32212,16,Duval,Duval-32212,Jacksonville,Jacksonville,71
32214,16,Duval,Duval-32214,Jacksonville,Jacksonville,-2
32216,16,Duval,Duval-32216,Jacksonville,Jacksonville,203
32217,16,Duval,Duval-32217,Jacksonville,Jacksonville,67
32218,16,Duval,Duval-32218,Jacksonville,Jacksonville,170
32219,16,Duval,Duval-32219,Jacksonville,Jacksonville,37
32220,16,Duval,Duval-32220,Jacksonville,Jacksonville,23
32221,16,Duval,Duval-32221,Jacksonville,Jacksonville,72
32222,16,Duval,Duval-32222,Jacksonville,Jacksonville,30
32223,16,Duval,Duval-32223,Jacksonville,Jacksonville,35
32224,16,Duval,Duval-32224,Jacksonville,Jacksonville,116
32225,16,Duval,Duval-32225,Jacksonville,Jacksonville,126
32226,16,Duval,Duval-32226,Jacksonville,Jacksonville,53
32227,16,Duval,Duval-32227,Jacksonville,Jacksonville,-2
32233,16,Duval,Duval-32233,Atlantic Beach,"Atlantic Beach, Jacksonville, Mayport",75
32234,2,Baker,Baker-32234,Jacksonville,,0
32234,10,Clay,Clay-32234,Jacksonville,,0
32234,16,Duval,Duval-32234,Jacksonville,"Baldwin, Jacksonville",6
32234,45,Nassau,Nassau-32234,Jacksonville,,0
32244,16,Duval,Duval-32244,Jacksonville,Jacksonville,162
32246,16,Duval,Duval-32246,Jacksonville,Jacksonville,189
32250,16,Duval,Duval-32250,Jacksonville Beach,"Jacksonville, Jacksonville Beach",163
32254,16,Duval,Duval-32254,Jacksonville,Jacksonville,50
32256,16,Duval,Duval-32256,Jacksonville,Jacksonville,182
32257,16,Duval,Duval-32257,Jacksonville,Jacksonville,73
32258,16,Duval,Duval-32258,Jacksonville,Jacksonville,83
32259,55,St. Johns,St. Johns-32259,Saint Johns,"Fruit Cove, Jacksonville, Saint Johns, Switzerland",105
32266,16,Duval,Duval-32266,Neptune Beach,"Jacksonville, Jacksonville Beach, Neptune Beach",40
32277,16,Duval,Duval-32277,Jacksonville,Jacksonville,76
32301,37,Leon,Leon-32301,Tallahassee,Tallahassee,65
32303,37,Leon,Leon-32303,Tallahassee,Tallahassee,78
32304,37,Leon,Leon-32304,Tallahassee,Tallahassee,159
32305,37,Leon,Leon-32305,Tallahassee,Tallahassee,28
32306,37,Leon,Leon-32306,Tallahassee,"Florida State University, Tallahassee",-2
32308,37,Leon,Leon-32308,Tallahassee,"Centerville, Tallahassee",56
32309,33,Jefferson,Jefferson-32309,Tallahassee,,0
32309,37,Leon,Leon-32309,Tallahassee,"Centerville, Tallahassee",30
32310,37,Leon,Leon-32310,Tallahassee,Tallahassee,54
32311,37,Leon,Leon-32311,Tallahassee,Tallahassee,37
32312,37,Leon,Leon-32312,Tallahassee,Tallahassee,32
32317,37,Leon,Leon-32317,Tallahassee,Tallahassee,13
32320,19,Franklin,Franklin-32320,Apalachicola,SUPPRESSED,-3
32321,39,Liberty,Liberty-32321,Bristol,Bristol,217
32322,19,Franklin,Franklin-32322,Carrabelle,SUPPRESSED,-3
32324,20,Gadsden,Gadsden-32324,Chattahoochee,Chattahoochee,20
32327,37,Leon,Leon-32327,Crawfordville,,0
32327,65,Wakulla,Wakulla-32327,Crawfordville,"Crawfordville, Wakulla Springs",36
32328,19,Franklin,Franklin-32328,Eastpoint,SUPPRESSED,-3
32331,33,Jefferson,Jefferson-32331,Greenville,,0
32331,40,Madison,Madison-32331,Greenville,Greenville,9
32331,62,Taylor,Taylor-32331,Greenville,,0
32332,20,Gadsden,Gadsden-32332,Gretna,Gretna,17
32333,20,Gadsden,Gadsden-32333,Havana,Havana,27
32334,39,Liberty,Liberty-32334,Hosford,Hosford,-2
32336,33,Jefferson,Jefferson-32336,Lamont,Lamont,-2
32336,40,Madison,Madison-32336,Lamont,,0
32336,62,Taylor,Taylor-32336,Lamont,,0
32340,40,Madison,Madison-32340,Madison,Madison,111
32343,20,Gadsden,Gadsden-32343,Midway,Midway,23
32344,33,Jefferson,Jefferson-32344,Monticello,Monticello,35
32346,19,Franklin,Franklin-32346,Panacea,SUPPRESSED,-3
32346,65,Wakulla,Wakulla-32346,Panacea,,0
32347,62,Taylor,Taylor-32347,Perry,Perry,22
